Entity,Code,Year,water_withdrawal
Sweden,SWE,1970,501.5
Sweden,SWE,1975,501.5
Sweden,SWE,1980,493.3
Sweden,SWE,1985,353
Sweden,SWE,1990,342.6
Sweden,SWE,1995,306
Sweden,SWE,2000,300.3
Sweden,SWE,2005,287.3
Sweden,SWE,2010,281.8
